,Date,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
0,24-11-2023,Male,34,Beauty,3,50,150
1,27-02-2023,Female,26,Clothing,2,500,1000
2,13-01-2023,Male,50,Electronics,1,30,30
3,21-05-2023,Male,37,Clothing,1,500,500
4,06-05-2023,Male,30,Beauty,2,50,100
5,25-04-2023,Female,45,Beauty,1,30,30
6,13-03-2023,Male,46,Clothing,2,25,50
7,22-02-2023,Male,30,Electronics,4,25,100
8,13-12-2023,Male,63,Electronics,2,300,600
9,07-10-2023,Female,52,Clothing,4,50,200
10,14-02-2023,Male,23,Clothing,2,50,100
11,30-10-2023,Male,35,Beauty,3,25,75
12,05-08-2023,Male,22,Electronics,3,500,1500
13,17-01-2023,Male,64,Clothing,4,30,120
14,16-01-2023,Female,42,Electronics,4,500,2000
15,17-02-2023,Male,19,Clothing,3,500,1500
16,22-04-2023,Female,27,Clothing,4,25,100
17,30-04-2023,Female,47,Electronics,2,25,50
18,16-09-2023,Female,62,Clothing,2,25,50
19,05-11-2023,Male,22,Clothing,3,300,900
20,14-01-2023,Female,50,Beauty,1,500,500
21,15-10-2023,Male,18,Clothing,2,50,100
22,12-04-2023,Female,35,Clothing,4,30,120
23,29-11-2023,Female,49,Clothing,1,300,300
24,26-12-2023,Female,64,Beauty,1,50,50
25,07-10-2023,Female,28,Electronics,2,500,1000
26,03-08-2023,Female,38,Beauty,2,25,50
27,23-04-2023,Female,43,Beauty,1,500,500
28,18-08-2023,Female,42,Electronics,1,30,30
29,29-10-2023,Female,39,Beauty,3,300,900
30,23-05-2023,Male,44,Electronics,4,300,1200
31,04-01-2023,Male,30,Beauty,3,30,90
32,23-03-2023,Female,50,Electronics,2,50,100
33,24-12-2023,Female,51,Clothing,3,50,150
34,05-08-2023,Female,58,Beauty,3,300,900
35,24-06-2023,Male,52,Beauty,3,300,900
36,23-05-2023,Female,18,Beauty,3,25,75
37,21-03-2023,Male,38,Beauty,4,50,200
38,21-04-2023,Male,23,Clothing,4,30,120
39,22-06-2023,Male,45,Beauty,1,50,50
40,22-02-2023,Male,34,Clothing,2,25,50
41,17-02-2023,Male,22,Clothing,3,300,900
42,14-07-2023,Female,48,Clothing,1,300,300
43,19-02-2023,Female,22,Clothing,1,25,25
44,03-07-2023,Female,55,Electronics,1,30,30
45,26-06-2023,Female,20,Electronics,4,300,1200
46,06-11-2023,Female,40,Beauty,3,500,1500
47,16-05-2023,Male,54,Electronics,3,300,900
48,23-01-2023,Female,54,Electronics,2,500,1000
49,24-08-2023,Female,27,Beauty,3,25,75
50,02-10-2023,Male,27,Beauty,3,25,75
51,05-03-2023,Female,36,Beauty,1,300,300
52,13-07-2023,Male,34,Electronics,2,50,100
53,10-02-2023,Female,38,Electronics,3,500,1500
54,10-10-2023,Male,31,Beauty,4,30,120
55,31-05-2023,Female,26,Clothing,3,300,900
56,18-11-2023,Female,63,Beauty,1,30,30
57,13-11-2023,Male,18,Clothing,4,300,1200
58,05-07-2023,Male,62,Clothing,1,50,50
59,23-10-2023,Male,30,Beauty,3,50,150
60,09-04-2023,Male,21,Beauty,4,50,200
61,27-12-2023,Male,18,Beauty,2,50,100
62,05-02-2023,Male,57,Electronics,2,25,50
63,24-01-2023,Male,49,Clothing,4,25,100
64,05-12-2023,Male,51,Electronics,4,500,2000
65,27-04-2023,Female,45,Electronics,1,30,30
66,29-05-2023,Female,48,Beauty,4,300,1200
67,10-02-2023,Male,25,Electronics,1,300,300
68,30-04-2023,Female,56,Beauty,3,25,75
69,21-02-2023,Female,43,Clothing,1,300,300
70,14-07-2023,Female,51,Beauty,4,25,100
71,23-05-2023,Female,20,Electronics,4,500,2000
72,21-08-2023,Male,29,Electronics,3,30,90
73,22-11-2023,Female,18,Beauty,4,500,2000
74,06-07-2023,Male,61,Beauty,4,50,200
75,25-03-2023,Female,22,Electronics,2,50,100
76,09-07-2023,Female,47,Clothing,2,50,100
77,01-07-2023,Female,47,Clothing,3,500,1500
78,18-04-2023,Male,34,Beauty,1,300,300
79,10-12-2023,Female,64,Clothing,2,30,60
80,17-05-2023,Male,40,Electronics,1,50,50
81,26-12-2023,Female,32,Beauty,4,50,200
82,16-12-2023,Male,54,Electronics,2,50,100
83,28-11-2023,Female,38,Electronics,3,30,90
84,06-02-2023,Male,31,Clothing,3,50,150
85,08-11-2023,Male,19,Beauty,3,30,90
86,22-11-2023,Female,28,Beauty,2,50,100
87,29-03-2023,Male,56,Clothing,1,500,500
88,01-10-2023,Female,55,Electronics,4,500,2000
89,06-05-2023,Female,51,Electronics,1,30,30
90,25-03-2023,Female,55,Electronics,1,500,500
91,25-08-2023,Female,51,Electronics,4,30,120
92,14-07-2023,Female,35,Beauty,4,500,2000
93,19-05-2023,Female,47,Beauty,2,500,1000
94,24-11-2023,Female,32,Clothing,2,30,60
95,19-12-2023,Female,44,Clothing,2,300,600
96,13-10-2023,Female,51,Beauty,2,500,1000
97,23-04-2023,Female,55,Beauty,2,50,100
98,17-12-2023,Female,50,Electronics,4,300,1200
99,16-06-2023,Male,41,Electronics,1,30,30
100,29-01-2023,Male,32,Clothing,2,300,600
101,28-04-2023,Female,47,Beauty,2,25,50
102,17-01-2023,Female,59,Clothing,1,25,25
103,11-06-2023,Female,34,Beauty,2,500,1000
104,25-07-2023,Female,22,Electronics,1,500,500
105,18-05-2023,Female,46,Clothing,1,50,50
106,03-02-2023,Female,21,Clothing,4,300,1200
107,19-04-2023,Female,27,Beauty,3,25,75
108,18-10-2023,Female,34,Electronics,4,500,2000
109,11-06-2023,Male,27,Clothing,3,300,900
110,19-04-2023,Female,34,Electronics,3,500,1500
111,02-12-2023,Male,37,Clothing,3,500,1500
112,13-09-2023,Female,41,Electronics,2,25,50
113,22-07-2023,Female,22,Beauty,4,25,100
114,26-11-2023,Male,51,Clothing,3,500,1500
115,23-08-2023,Female,23,Clothing,1,30,30
116,15-03-2023,Male,19,Electronics,2,500,1000
117,16-05-2023,Female,30,Electronics,4,500,2000
118,13-03-2023,Female,60,Clothing,3,50,150
119,07-05-2023,Male,60,Beauty,1,50,50
120,15-10-2023,Female,28,Electronics,4,50,200
121,03-10-2023,Male,64,Electronics,4,30,120
122,15-05-2023,Female,40,Electronics,2,30,60
123,27-10-2023,Male,33,Clothing,4,500,2000
124,08-08-2023,Male,48,Clothing,2,50,100
125,26-10-2023,Female,28,Clothing,3,30,90
126,24-07-2023,Female,33,Clothing,2,25,50
127,05-07-2023,Male,25,Beauty,1,500,500
128,23-04-2023,Female,21,Beauty,2,300,600
129,12-03-2023,Female,57,Clothing,1,500,500
130,18-09-2023,Female,21,Beauty,2,300,600
131,10-09-2023,Male,42,Electronics,4,50,200
132,16-02-2023,Male,20,Electronics,3,300,900
133,25-01-2023,Male,49,Electronics,1,50,50
134,26-02-2023,Male,20,Clothing,2,25,50
135,20-03-2023,Male,44,Electronics,2,300,600
136,18-11-2023,Male,46,Beauty,2,500,1000
137,23-03-2023,Male,49,Clothing,4,50,200
138,15-12-2023,Male,36,Beauty,4,500,2000
139,05-08-2023,Male,38,Electronics,1,30,30
140,02-11-2023,Female,22,Electronics,1,50,50
141,02-02-2023,Male,35,Electronics,4,300,1200
142,17-07-2023,Female,45,Clothing,1,50,50
143,15-07-2023,Female,59,Beauty,3,500,1500
144,02-11-2023,Female,39,Clothing,3,25,75
145,28-08-2023,Male,38,Clothing,4,50,200
146,28-09-2023,Male,23,Electronics,1,300,300
147,09-05-2023,Male,18,Clothing,2,30,60
148,11-10-2023,Male,22,Clothing,3,25,75
149,06-01-2023,Female,58,Electronics,4,30,120
150,15-12-2023,Male,29,Clothing,1,50,50
151,28-02-2023,Male,43,Electronics,4,500,2000
152,16-12-2023,Male,63,Electronics,2,500,1000
153,02-10-2023,Male,51,Electronics,3,300,900
154,17-05-2023,Male,31,Electronics,4,500,2000
155,25-11-2023,Female,43,Clothing,4,25,100
156,24-06-2023,Male,62,Electronics,4,500,2000
157,27-02-2023,Female,44,Electronics,2,300,600
158,31-05-2023,Male,26,Clothing,4,50,200
159,11-08-2023,Female,43,Clothing,2,50,100
160,22-03-2023,Male,64,Beauty,2,500,1000
161,21-08-2023,Male,39,Clothing,2,30,60
162,02-01-2023,Female,64,Clothing,3,50,150
163,15-05-2023,Female,47,Beauty,3,500,1500
164,14-09-2023,Female,60,Clothing,4,300,1200
165,02-04-2023,Male,34,Clothing,4,500,2000
166,17-09-2023,Female,43,Clothing,3,50,150
167,24-02-2023,Male,53,Clothing,1,300,300
168,17-11-2023,Male,18,Beauty,3,500,1500
169,02-06-2023,Female,25,Clothing,2,25,50
170,24-11-2023,Female,52,Clothing,3,300,900
171,17-09-2023,Male,32,Beauty,2,25,50
172,08-11-2023,Male,64,Electronics,4,30,120
173,12-04-2023,Female,39,Beauty,1,300,300
174,20-03-2023,Female,31,Electronics,4,25,100
175,11-07-2023,Female,43,Beauty,2,50,100
176,24-03-2023,Male,45,Beauty,2,50,100
177,04-10-2023,Male,40,Clothing,2,30,60
178,29-09-2023,Male,31,Electronics,1,300,300
179,01-01-2023,Male,41,Clothing,3,300,900
180,03-11-2023,Male,19,Electronics,4,300,1200
181,15-06-2023,Male,62,Beauty,4,30,120
182,08-09-2023,Female,43,Beauty,3,300,900
183,10-01-2023,Male,31,Electronics,4,50,200
184,27-02-2023,Male,24,Clothing,1,25,25
185,05-07-2023,Male,20,Clothing,4,50,200
186,07-06-2023,Female,64,Clothing,2,50,100
187,03-05-2023,Male,40,Clothing,3,25,75
188,30-01-2023,Male,63,Beauty,1,50,50
189,04-05-2023,Female,60,Beauty,3,30,90
190,18-10-2023,Male,64,Beauty,1,25,25
191,10-02-2023,Male,62,Beauty,2,50,100
192,13-02-2023,Male,35,Beauty,3,500,1500
193,06-09-2023,Male,55,Clothing,4,50,200
194,05-02-2023,Male,52,Clothing,1,30,30
195,30-09-2023,Female,32,Clothing,3,300,900
196,06-03-2023,Female,42,Clothing,4,50,200
197,07-03-2023,Female,54,Beauty,3,300,900
198,04-12-2023,Male,45,Beauty,3,500,1500
199,01-09-2023,Male,27,Beauty,3,50,150
200,09-10-2023,Male,56,Electronics,1,25,25
201,26-03-2023,Female,34,Clothing,4,300,1200
202,16-05-2023,Male,56,Clothing,2,500,1000
203,28-09-2023,Male,39,Beauty,1,25,25
204,07-11-2023,Female,43,Clothing,1,25,25
205,05-08-2023,Male,61,Clothing,1,25,25
206,19-04-2023,Female,42,Beauty,2,25,50
207,04-10-2023,Female,34,Electronics,4,50,200
208,20-12-2023,Female,30,Electronics,4,50,200
209,13-04-2023,Male,37,Electronics,4,50,200
210,01-01-2024,Male,42,Beauty,3,500,1500
211,09-06-2023,Male,21,Clothing,3,500,1500
212,24-07-2023,Male,27,Beauty,3,500,1500
213,10-12-2023,Male,20,Beauty,2,30,60
214,29-11-2023,Male,58,Clothing,3,500,1500
215,11-07-2023,Male,62,Electronics,2,50,100
216,13-08-2023,Female,35,Electronics,4,50,200
217,22-09-2023,Male,64,Beauty,3,30,90
218,20-08-2023,Female,53,Electronics,3,30,90
219,03-03-2023,Male,64,Beauty,1,500,500
220,07-05-2023,Male,39,Beauty,2,300,600
221,26-04-2023,Male,51,Clothing,4,30,120
222,02-02-2023,Female,64,Clothing,1,25,25
223,23-06-2023,Female,25,Clothing,1,50,50
224,11-01-2023,Female,57,Beauty,4,25,100
225,29-10-2023,Female,61,Clothing,1,50,50
226,11-10-2023,Male,36,Electronics,2,50,100
227,28-04-2023,Female,59,Electronics,2,30,60
228,29-10-2023,Male,58,Beauty,3,30,90
229,23-04-2023,Male,54,Beauty,1,25,25
230,04-01-2023,Female,23,Clothing,3,50,150
231,06-02-2023,Female,43,Beauty,1,25,25
232,29-12-2023,Female,51,Beauty,2,300,600
233,20-11-2023,Female,62,Electronics,2,25,50
234,31-01-2023,Female,23,Electronics,2,500,1000
235,28-04-2023,Female,54,Clothing,1,25,25
236,04-02-2023,Female,50,Beauty,2,500,1000
237,17-01-2023,Female,39,Beauty,1,500,500
238,19-06-2023,Male,38,Electronics,3,500,1500
239,06-02-2023,Female,23,Beauty,1,300,300
240,21-09-2023,Female,23,Electronics,3,25,75
241,02-05-2023,Male,21,Clothing,1,25,25
242,23-05-2023,Female,47,Electronics,3,300,900
243,09-12-2023,Male,28,Beauty,2,50,100
244,06-09-2023,Male,47,Clothing,3,30,90
245,20-04-2023,Female,48,Electronics,2,25,50
246,04-10-2023,Male,41,Electronics,2,30,60
247,09-03-2023,Male,26,Clothing,3,300,900
248,20-10-2023,Male,20,Clothing,1,50,50
249,23-10-2023,Male,48,Electronics,1,50,50
250,31-08-2023,Female,57,Beauty,4,50,200
251,05-05-2023,Male,54,Electronics,1,300,300
252,31-08-2023,Female,53,Clothing,4,500,2000
253,28-07-2023,Male,41,Electronics,1,500,500
254,08-04-2023,Male,48,Clothing,1,30,30
255,18-02-2023,Male,23,Clothing,2,500,1000
256,19-02-2023,Male,19,Beauty,4,500,2000
257,04-12-2023,Female,37,Clothing,1,50,50
258,09-08-2023,Female,45,Clothing,4,50,200
259,01-07-2023,Male,28,Beauty,2,30,60
260,05-08-2023,Male,21,Clothing,2,25,50
261,30-07-2023,Female,32,Beauty,4,30,120
262,28-08-2023,Male,23,Beauty,2,30,60
263,28-01-2023,Male,47,Clothing,3,300,900
264,11-12-2023,Male,55,Clothing,3,300,900
265,01-12-2023,Female,19,Electronics,2,30,60
266,27-11-2023,Female,32,Beauty,3,30,90
267,20-02-2023,Female,28,Electronics,1,30,30
268,01-02-2023,Male,25,Clothing,4,500,2000
269,26-07-2023,Male,43,Electronics,1,300,300
270,23-06-2023,Female,62,Beauty,4,30,120
271,25-02-2023,Female,61,Electronics,2,50,100
272,08-05-2023,Female,22,Beauty,1,50,50
273,09-04-2023,Female,23,Clothing,2,500,1000
274,08-04-2023,Male,43,Clothing,2,500,1000
275,02-10-2023,Female,21,Beauty,4,25,100
276,18-08-2023,Male,36,Clothing,4,25,100
277,13-03-2023,Female,37,Clothing,4,25,100
278,05-08-2023,Male,50,Clothing,1,500,500
279,04-04-2023,Female,37,Clothing,3,500,1500
280,23-05-2023,Female,29,Beauty,4,500,2000
281,25-08-2023,Female,64,Electronics,4,50,200
282,08-05-2023,Female,18,Electronics,1,500,500
283,08-02-2023,Male,43,Clothing,4,50,200
284,15-08-2023,Female,31,Electronics,1,25,25
285,09-10-2023,Male,55,Electronics,2,25,50
286,20-02-2023,Male,54,Clothing,4,25,100
287,26-01-2023,Male,28,Clothing,4,30,120
288,30-11-2023,Male,53,Electronics,2,30,60
289,04-10-2023,Female,30,Beauty,2,300,600
290,08-01-2023,Male,60,Clothing,2,300,600
291,17-02-2023,Male,20,Beauty,4,300,1200
292,02-05-2023,Male,50,Electronics,3,30,90
293,27-03-2023,Female,23,Clothing,3,30,90
294,28-07-2023,Female,27,Beauty,3,300,900
295,06-09-2023,Female,22,Clothing,4,300,1200
296,04-09-2023,Female,40,Electronics,2,500,1000
297,20-04-2023,Male,27,Beauty,4,300,1200
298,25-07-2023,Male,61,Electronics,2,500,1000
299,31-01-2023,Female,19,Electronics,4,50,200
300,26-03-2023,Male,30,Clothing,4,30,120
301,14-07-2023,Male,57,Beauty,2,300,600
302,02-01-2023,Male,19,Electronics,3,30,90
303,19-07-2023,Female,37,Electronics,2,30,60
304,16-05-2023,Female,18,Beauty,1,30,30
305,21-08-2023,Male,54,Electronics,1,50,50
306,27-05-2023,Female,26,Electronics,2,25,50
307,05-08-2023,Female,34,Beauty,4,300,1200
308,23-12-2023,Female,26,Beauty,1,25,25
309,12-10-2023,Female,28,Beauty,1,25,25
310,05-12-2023,Female,32,Beauty,4,25,100
311,07-09-2023,Male,41,Clothing,4,30,120
312,21-03-2023,Female,55,Beauty,3,500,1500
313,08-04-2023,Male,52,Clothing,4,30,120
314,01-06-2023,Male,47,Clothing,2,30,60
315,22-04-2023,Female,48,Clothing,2,25,50
316,30-01-2023,Male,22,Electronics,3,30,90
317,24-10-2023,Male,61,Clothing,1,25,25
318,05-10-2023,Male,31,Clothing,1,500,500
319,01-02-2023,Female,28,Electronics,4,300,1200
320,10-06-2023,Female,26,Electronics,2,25,50
321,30-01-2023,Male,51,Electronics,1,500,500
322,26-01-2023,Female,29,Beauty,3,300,900
323,27-10-2023,Female,52,Electronics,3,50,150
324,02-09-2023,Female,52,Electronics,2,25,50
325,15-09-2023,Female,18,Clothing,3,25,75
326,29-09-2023,Male,57,Electronics,3,50,150
327,22-03-2023,Male,39,Beauty,2,50,100
328,30-01-2023,Female,46,Electronics,4,25,100
329,18-09-2023,Female,25,Beauty,4,50,200
330,11-02-2023,Male,28,Electronics,3,30,90
331,06-04-2023,Male,58,Electronics,4,300,1200
332,05-02-2023,Female,54,Electronics,4,300,1200
333,01-11-2023,Male,31,Electronics,3,300,900
334,04-02-2023,Female,47,Beauty,4,30,120
335,12-12-2023,Female,52,Beauty,3,50,150
336,01-05-2023,Male,38,Clothing,1,500,500
337,26-07-2023,Male,54,Beauty,2,50,100
338,03-03-2023,Female,22,Electronics,2,25,50
339,19-10-2023,Female,36,Clothing,4,300,1200
340,07-05-2023,Male,31,Clothing,4,50,200
341,24-10-2023,Female,43,Clothing,4,500,2000
342,01-11-2023,Male,21,Electronics,2,25,50
343,21-01-2023,Female,42,Beauty,1,30,30
344,14-11-2023,Male,62,Electronics,1,30,30
345,11-02-2023,Male,59,Clothing,2,500,1000
346,03-08-2023,Male,42,Electronics,1,25,25
347,03-12-2023,Female,35,Electronics,2,300,600
348,26-10-2023,Female,57,Beauty,1,50,50
349,17-10-2023,Male,25,Beauty,3,25,75
350,25-09-2023,Female,56,Clothing,3,30,90
351,11-06-2023,Male,57,Electronics,2,500,1000
352,14-05-2023,Male,31,Electronics,1,500,500
353,15-04-2023,Female,49,Beauty,4,50,200
354,09-12-2023,Female,55,Electronics,1,500,500
355,10-06-2023,Male,50,Electronics,3,500,1500
356,03-05-2023,Female,40,Electronics,3,25,75
357,16-05-2023,Female,32,Beauty,1,300,300
358,22-07-2023,Male,50,Clothing,1,50,50
359,09-03-2023,Male,42,Clothing,4,25,100
360,10-12-2023,Female,34,Electronics,4,300,1200
361,27-11-2023,Male,50,Clothing,1,25,25
362,03-06-2023,Male,64,Beauty,1,25,25
363,23-08-2023,Female,19,Beauty,1,500,500
364,11-06-2023,Male,31,Clothing,1,300,300
365,07-02-2023,Male,57,Clothing,2,50,100
366,05-01-2023,Female,57,Electronics,1,50,50
367,23-08-2023,Female,56,Clothing,4,300,1200
368,15-11-2023,Male,23,Electronics,3,500,1500
369,16-10-2023,Male,23,Electronics,2,30,60
370,21-02-2023,Female,20,Beauty,1,25,25
371,07-02-2023,Female,24,Beauty,3,500,1500
372,03-10-2023,Female,25,Beauty,2,300,600
373,20-04-2023,Female,59,Beauty,3,25,75
374,17-09-2023,Male,32,Clothing,1,50,50
375,16-05-2023,Female,64,Beauty,1,30,30
376,09-03-2023,Female,46,Clothing,4,50,200
377,28-06-2023,Male,50,Beauty,1,300,300
378,05-02-2023,Female,47,Clothing,1,25,25
379,06-05-2023,Male,56,Electronics,2,300,600
380,09-07-2023,Female,44,Clothing,4,25,100
381,26-05-2023,Female,53,Clothing,2,500,1000
382,22-03-2023,Female,46,Beauty,3,30,90
383,13-08-2023,Male,55,Clothing,1,500,500
384,06-10-2023,Male,50,Electronics,3,500,1500
385,27-12-2023,Female,54,Electronics,2,300,600
386,04-06-2023,Male,44,Beauty,1,30,30
387,10-11-2023,Male,50,Electronics,1,25,25
388,01-12-2023,Male,21,Clothing,2,25,50
389,28-09-2023,Male,39,Electronics,2,50,100
390,05-01-2023,Male,19,Beauty,2,25,50
391,08-12-2023,Male,27,Clothing,2,300,600
392,11-10-2023,Female,22,Beauty,2,500,1000
393,03-06-2023,Female,27,Clothing,1,500,500
394,06-12-2023,Male,50,Electronics,2,500,1000
395,23-02-2023,Female,55,Beauty,1,30,30
396,10-03-2023,Female,30,Beauty,1,25,25
397,16-05-2023,Female,48,Clothing,2,300,600
398,01-03-2023,Female,64,Beauty,2,30,60
399,24-02-2023,Male,53,Clothing,4,50,200
400,11-10-2023,Female,62,Clothing,1,300,300
401,21-03-2023,Female,41,Clothing,2,300,600
402,20-05-2023,Male,32,Clothing,2,300,600
403,25-05-2023,Male,46,Electronics,2,500,1000
404,06-11-2023,Female,25,Clothing,4,300,1200
405,18-04-2023,Female,22,Beauty,4,25,100
406,25-06-2023,Female,46,Electronics,3,300,900
407,15-04-2023,Female,64,Beauty,1,500,500
408,18-12-2023,Female,21,Electronics,3,300,900
409,21-11-2023,Female,29,Clothing,2,50,100
410,16-05-2023,Male,62,Electronics,4,50,200
411,16-09-2023,Female,19,Electronics,4,500,2000
412,08-09-2023,Female,44,Beauty,3,25,75
413,09-05-2023,Male,48,Beauty,4,25,100
414,27-01-2023,Male,53,Clothing,2,30,60
415,17-02-2023,Male,53,Electronics,4,500,2000
416,21-11-2023,Male,43,Electronics,3,300,900
417,05-08-2023,Female,60,Electronics,2,500,1000
418,22-05-2023,Female,44,Clothing,3,30,90
419,23-01-2023,Female,22,Clothing,4,500,2000
420,02-01-2023,Female,37,Clothing,3,500,1500
421,20-06-2023,Female,28,Clothing,3,30,90
422,08-03-2023,Female,27,Clothing,1,25,25
423,23-11-2023,Male,57,Beauty,4,300,1200
424,15-05-2023,Female,55,Electronics,4,30,120
425,24-03-2023,Male,23,Electronics,3,50,150
426,15-08-2023,Male,25,Electronics,1,25,25
427,10-10-2023,Female,40,Electronics,4,50,200
428,28-12-2023,Male,64,Electronics,2,25,50
429,07-08-2023,Female,43,Electronics,3,300,900
430,15-10-2023,Male,63,Electronics,4,300,1200
431,05-01-2023,Female,60,Electronics,2,500,1000
432,27-02-2023,Male,29,Beauty,4,50,200
433,08-02-2023,Female,43,Electronics,2,25,50
434,20-12-2023,Female,30,Beauty,3,300,900
435,18-03-2023,Female,57,Clothing,4,30,120
436,07-10-2023,Female,35,Electronics,4,300,1200
437,19-01-2023,Female,42,Clothing,1,30,30
438,09-07-2023,Male,50,Clothing,3,25,75
439,26-10-2023,Male,64,Clothing,2,300,600
440,10-10-2023,Male,57,Beauty,4,300,1200
441,17-03-2023,Female,60,Clothing,4,25,100
442,09-08-2023,Male,29,Clothing,2,300,600
443,07-03-2023,Female,61,Clothing,3,30,90
444,22-01-2023,Female,53,Electronics,1,300,300
445,07-06-2023,Male,21,Electronics,1,50,50
446,06-07-2023,Male,22,Beauty,4,500,5000
447,21-01-2023,Female,54,Beauty,2,30,60
448,03-07-2023,Male,25,Electronics,4,50,200
449,18-04-2023,Female,59,Beauty,2,25,50
450,16-12-2023,Female,45,Electronics,1,30,30
451,08-05-2023,Female,48,Clothing,3,500,1500
452,08-12-2023,Female,26,Clothing,2,500,1000
453,22-02-2023,Female,46,Beauty,1,25,25
454,01-07-2023,Male,31,Electronics,4,25,100
455,14-10-2023,Male,57,Electronics,2,30,60
456,28-07-2023,Female,58,Beauty,3,300,900
457,14-11-2023,Female,39,Electronics,4,25,100
458,21-03-2023,Male,28,Clothing,4,300,1200
459,02-05-2023,Male,40,Beauty,1,50,50
460,25-03-2023,Female,18,Beauty,2,500,1000
461,01-04-2023,Male,63,Electronics,4,300,1200
462,31-07-2023,Female,54,Beauty,3,500,1500
463,13-01-2023,Male,38,Electronics,2,300,600
464,02-04-2023,Female,43,Electronics,3,50,150
465,20-06-2023,Male,63,Electronics,4,25,100
466,30-07-2023,Female,53,Electronics,3,50,150
467,09-12-2023,Male,40,Electronics,1,25,25
468,08-05-2023,Male,18,Beauty,3,25,75
469,17-05-2023,Female,57,Clothing,2,500,1000
470,23-03-2023,Male,32,Clothing,3,50,150
471,26-12-2023,Female,38,Beauty,3,300,900
472,25-02-2023,Male,64,Beauty,1,50,50
473,15-07-2023,Female,26,Clothing,3,500,1500
474,20-01-2023,Male,26,Clothing,3,25,75
475,29-08-2023,Female,27,Clothing,4,500,2000
476,24-04-2023,Male,43,Clothing,4,30,120
477,13-04-2023,Female,58,Clothing,2,30,60
478,24-08-2023,Male,52,Electronics,4,300,1200
479,29-06-2023,Female,42,Beauty,4,500,2000
480,06-06-2023,Female,43,Electronics,4,300,1200
481,27-04-2023,Female,28,Clothing,4,300,1200
482,25-04-2023,Male,55,Clothing,1,30,30
483,13-01-2023,Female,19,Clothing,4,300,1200
484,04-12-2023,Male,24,Electronics,1,30,30
485,09-04-2023,Female,35,Electronics,1,25,25
486,24-07-2023,Male,44,Clothing,4,500,2000
487,18-06-2023,Female,51,Electronics,3,300,900
488,23-05-2023,Male,44,Electronics,1,30,30
489,05-02-2023,Male,34,Clothing,3,50,150
490,23-05-2023,Female,60,Electronics,3,300,900
491,29-06-2023,Male,61,Beauty,4,25,100
492,25-11-2023,Male,41,Beauty,2,25,50
493,18-09-2023,Female,42,Beauty,4,50,200
494,24-07-2023,Male,24,Beauty,2,30,60
495,14-12-2023,Male,23,Clothing,2,300,600
496,02-10-2023,Male,41,Clothing,4,30,120
497,19-06-2023,Female,50,Clothing,4,25,100
498,15-01-2023,Male,46,Beauty,2,30,60
499,01-03-2023,Female,60,Beauty,4,25,100
